Date, Type, Sender, Receiver, Content, ChannelName, RuleName, RuleGroupName
'16.05.2022 17:56:57', 'chat', 'KatieDeForest', '', './server factions', 'English', '', ''
'16.05.2022 22:58:03', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 22:58:28', 'chat', 'NovaPhantom23', '', 'holy shi-', 'English', '', ''
'16.05.2022 22:59:07', 'chat', 'NovaPhantom23', '', 'well i guess i ahve some competition then', 'English', '', ''
'16.05.2022 22:59:49', 'chat', 'NovaPhantom23', '', 'ill have to pull out the big ideas', 'English', '', ''
'16.05.2022 23:00:25', 'chat', 'NovaPhantom23', '', 'fair enough lol', 'English', '', ''
'16.05.2022 23:00:50', 'chat', 'NovaPhantom23', '', 'im wondering what im going to go for. im thinking a castle', 'English', '', ''
'16.05.2022 23:01:08', 'chat', 'NovaPhantom23', '', 'yiss', 'English', '', ''
'16.05.2022 23:01:26', 'chat', 'NovaPhantom23', '', 'not anymore', 'English', '', ''
'16.05.2022 23:01:42', 'chat', 'NovaPhantom23', '', 'are you trying to suggest somthing lmaooo', 'English', '', ''
'16.05.2022 23:01:59', 'chat', 'NovaPhantom23', '', 'XD', 'English', '', ''
'16.05.2022 23:02:24', 'chat', 'NovaPhantom23', '', 'now we are both completely lost lmaooooo', 'English', '', ''
'16.05.2022 23:02:34', 'chat', 'NovaPhantom23', '', 'well i had better go choose a plot', 'English', '', ''
'16.05.2022 23:03:13', 'chat', 'NovaPhantom23', '', 'problem is that i need a big plot', 'English', '', ''
'16.05.2022 23:03:56', 'chat', 'NovaPhantom23', '', 'apparently ita already claimed', 'English', '', ''
'16.05.2022 23:06:09', 'chat', 'NovaPhantom23', '', 'ok. so how do i merge them. im guessing there is a command', 'English', '', ''
'16.05.2022 23:07:19', 'chat', 'NovaPhantom23', '', 'welp. guess i had better start planning my builkd', 'English', '', ''
'16.05.2022 23:09:50', 'chat', 'NovaPhantom23', '', 'ive been playing since beta 1.7', 'English', '', ''
'16.05.2022 23:11:12', 'chat', 'NovaPhantom23', '', 'i once had a world on xbox where i built and entire city', 'English', '', ''
'16.05.2022 23:11:33', 'chat', 'NovaPhantom23', '', 'unfortunatley it was lost to time though,/ but i remember it. took me 2 years', 'English', '', ''
'16.05.2022 23:13:05', 'chat', 'NovaPhantom23', '', 'im working on a backup and storage system that is completely ott', 'English', '', ''
'16.05.2022 23:13:26', 'chat', 'NovaPhantom23', '', 'over the top', 'English', '', ''
'16.05.2022 23:15:24', 'chat', 'NovaPhantom23', '', 'same here. i need to be earning 26k a year in order to live independantly', 'English', '', ''
'16.05.2022 23:16:41', 'chat', 'NovaPhantom23', '', 'apartments are not too bad here but i want to be in a house for many reasons but the biggest is networking', 'English', '', ''
'16.05.2022 23:17:52', 'chat', 'NovaPhantom23', '', 'thats very expensive', 'English', '', ''
'16.05.2022 23:18:30', 'chat', 'NovaPhantom23', '', 'uk', 'English', '', ''
'16.05.2022 23:19:10', 'chat', 'NovaPhantom23', '', 'id rather not live in the us though lmao', 'English', '', ''
'16.05.2022 23:19:34', 'chat', 'NovaPhantom23', '', 'canada', 'English', '', ''
'16.05.2022 23:19:51', 'chat', 'NovaPhantom23', '', 'thats basicly the only real choice', 'English', '', ''
'16.05.2022 23:20:09', 'chat', 'NovaPhantom23', '', ':(', 'English', '', ''
'16.05.2022 23:20:14', 'chat', 'NovaPhantom23', '', 'im sorry to hear that', 'English', '', ''
'16.05.2022 23:21:51', 'chat', 'NovaPhantom23', '', 'that sucks', 'English', '', ''
'16.05.2022 23:22:36', 'chat', 'NovaPhantom23', '', ';3', 'English', '', ''
'16.05.2022 23:22:59', 'chat', 'NovaPhantom23', '', 'check my discord bio for an idea lmaooo', 'English', '', ''
'16.05.2022 23:24:08', 'chat', 'NovaPhantom23', '', 'who said im not a switch', 'English', '', ''
'16.05.2022 23:24:10', 'chat', 'NovaPhantom23', '', 'brb', 'English', '', ''
'16.05.2022 23:28:43', 'chat', 'NovaPhantom23', '', 'slut can go both ways lmaooo', 'English', '', ''
'16.05.2022 23:28:43', 'chat', 'NovaPhantom23', '', 'slut can go both ways lmaooo', 'English', '', 'swear'
'16.05.2022 23:28:43', 'chat', 'NovaPhantom23', '', '***** can go both ways lmaooo', 'English', '', ''
'16.05.2022 23:29:33', 'chat', 'NovaPhantom23', '', 'obviously lmaooo', 'English', '', ''
'16.05.2022 23:30:09', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 23:30:28', 'chat', 'NovaPhantom23', '', 'i have to do a new one. but i wont lie i am defo a sub lmaoo', 'English', '', ''
'16.05.2022 23:31:04', 'chat', 'NovaPhantom23', '', 'no need to be ashamed of what you like. i say that but i still skirt the vocabulary', 'English', '', ''
'16.05.2022 23:31:52', 'chat', 'NovaPhantom23', '', 'also wanna get in vc? building and typing is tiring lmao', 'English', '', ''
'16.05.2022 23:32:40', 'chat', 'NovaPhantom23', '', 'that sucks', 'English', '', ''
'16.05.2022 23:33:14', 'chat', 'NovaPhantom23', '', 'mine are not nearly that strict', 'English', '', ''
'16.05.2022 23:33:47', 'chat', 'NovaPhantom23', '', 'why are our tests so simmilar lmao', 'English', '', ''
'16.05.2022 23:35:48', 'chat', 'NovaPhantom23', '', 'hold on. ill send you an old one i did', 'English', '', ''
'16.05.2022 23:37:17', 'chat', 'NovaPhantom23', '', 'yea. after being used i coulnt go back lmao', 'English', '', ''
'16.05.2022 23:37:45', 'chat', 'NovaPhantom23', '', 'yea', 'English', '', ''
'16.05.2022 23:43:52', 'chat', 'NovaPhantom23', '', 'yea. im still super subby though', 'English', '', ''
'16.05.2022 23:44:02', 'chat', 'NovaPhantom23', '', 'fun fact. i used to be a vrc escord', 'English', '', ''
'16.05.2022 23:44:09', 'chat', 'NovaPhantom23', '', 'escort*', 'English', '', ''
'16.05.2022 23:44:19', 'chat', 'NovaPhantom23', '', 'people would pay me to erp', 'English', '', ''
'16.05.2022 23:44:41', 'chat', 'NovaPhantom23', '', 'its suprising how lonely people are. but erp is alot esier in vr lmaooo', 'English', '', ''
'16.05.2022 23:45:24', 'chat', 'NovaPhantom23', '', 'wanna go in with me', 'English', '', ''
'16.05.2022 23:46:32', 'chat', 'NovaPhantom23', '', 'same but i do it so i can voice train', 'English', '', ''
'16.05.2022 23:47:28', 'chat', 'NovaPhantom23', '', 'well if you want i could send you a few videos that helped me', 'English', '', ''
'16.05.2022 23:49:07', 'chat', 'NovaPhantom23', '', 'sure', 'English', '', ''
'16.05.2022 23:50:11', 'chat', 'NovaPhantom23', '', 'owww. i had my volume on 100%', 'English', '', ''
'16.05.2022 23:50:43', 'chat', 'NovaPhantom23', '', 'WHATTTT', 'English', '', ''
